,estimated_yield,matched_crop
dewberry,6548.2,blueberries
"diesel tree, copaiba, copaiba vermelha, copaiba balsam",18548.6,chillies and peppers green capsicum spp and pimenta spp
"dill, garden dill, East Indian dill, aneth, eneldo, shibith, dille, aneto, funcho bastardo, endro, ukrop, shih-lo, Anethi folium, Anethi fructus, Aetheroleum anethi fructus, Aetheroleum anethi herba",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"divi-divi, dividivi, libidibi",1276.2,pistachios in shell
"dog rose, dog brier, rose hip, wild rose, brier hip, bramble rose, cankerberry, canker, baies d'eglantier, Hagebutte, Hundsrose, rosa canina, hunderose, roseira canina, rosa de cao, silva-macha, rebenta-boi, Cynosbati fructus sine semine, Cynosbati fructus cum seminibus, Cynosbati semen",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"dogwood, blinkblaar",11022.3,ginger raw
"dom (Sudan), dom palm",634.6,cow peas dry
"doum palm, palma dum, mukoma, ilala, baar, qoona (fruit), dabell (young), qoone (Borana), kone (Borana), meeti (Borana), mkoma (Chonyi), kulidhe (Daasanach), mkoma (Digo), lume (Digo), meetti (Gabra), mkoma (Giriama), lparruai (Ilchamus), lparrua (Ilchamus), mkoma (Kambe), mokoma (Malakote), mezi (young) (Malakote), irara (Mbeere), kone (Orma), meti (young) (Orma), takuyua (Pokot), takaiw'a (Pokot), takayua (Pokot), gey-i-khooona (Rendille), baar (Rendille), lparwai (Samburu), nkujit-ae-nkeok (Samburu), auwaki (Sanya), mkoma, mkoche, mlala, mnyaa, muaa, irara (Taveta), muruguyu (Tharaka), eeng'ol (Turkana), eng'ol (Turkana), Dumpalme",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"downy birch, Irish beith, brown birch, bedulo, Cortex Betulae",6582.4,broad beans and horse beans green
"driedoring, threethorn rhigozum, three-thorn, Kalahari soap bush, mokuburwane, mokurubane",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"durian, duren, ambetan, kadu, dulian, du-yin, thu-rÃ©Ã©n, thouriÃ¨n, thurian, thu-rian, rian, sÃ¢Ã¹ riÃªng",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"duruka, Fiji aspragus, duruka, dule (Fiji), pit-pit (Melanesia), naviso, Coastal pitpit, Pitpit",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"durum wheat, Macaroni wheat, blÃ© dur, trigo duro, grano duro, durum weizen, hartweizen, durum hvede, durum vete, durum kveite, ying li xiao mai, alkamh assalb, lÃºa mÃ¬ cÃºng",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"dwarf elder, danewort, elderwort, sabugueirinho, engos, ebulo, erva de S. Cristovao",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"dwarf kumquat, cumquate ana",15258.7,pumpkins squash and gourds
"dyer's-greenweed, green broom, base broom, kendal green, woas-waxen, piorno, piorno dos tintureiros",6909.3,other berries and fruits of the genus vaccinium nec
"eastern cottonwood, cottonwood, eastern poplar, yellow cottonwood, water poplar, necklace poplar, peuplier d'Amerique, choupo da America",13822.2,edible roots and tubers with high starch or inulin content nec fresh
eddi shebai,520.1,sesame seed
"edelweiss, stella alpina, flower of Salzburg and Tyrol, Austrian flower",1485.3,kenaf and other textile bast fibres raw or retted
"eelgrass, sea-wrack, grass-wrack, sea grass, ulva marina, limo de fita, ceba do rio, zostera marinha, zozima, cirigo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"eggplant, aubergine, brinjal, badinjan, jew's apple, mad apple, melongene, melanzana, baijani, baigan, beringela, jiloeiro, jilo', gilo', berenjena, paigani, paegani (Tuvalu), gaigani, eiervrug, kathiri (tamil), vazhudhanaikkai (malayalam)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"eilig, drin, Arisatide piquante",31617.7,eggplants aubergines
"elecampane, yellow starwort, scabwort, horse elder, elf dock, horse-heal, enula-campana, inula, madorneira rasteira",13822.2,edible roots and tubers with high starch or inulin content nec fresh
elephant apple,21076.9,apples
"elephant foot yam, elephant yam, yam",2182.7,broad beans and horse beans dry
"elephant grass, napier grass, capim elefante, marianga, gigante, mabingobingo, mfufu",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
endive,1822.0,olives
"enset, Abyssinian banana",6582.4,broad beans and horse beans green
"erima, binuang",11022.3,ginger raw
"erva-mate, mate, erva (Br), yerba mate",361.0,nutmeg mace cardamoms raw
"euterpe palm, assai palm, acai palm, cabbage palm, palmier pinot, asaÃ­, palmiche de Rio Negro, manaca, palm of col, aÃ§aÃ­, aÃ§aÃ­zeiro, aÃ§aÃ­ do ParÃ¡, aÃ§aÃ­ do Baixo Amazonas, aÃ§aÃ­ de touceira, juÃ§ara, juÃ§ara de touceira, palmito aÃ§ai",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
evening primrose,8074.5,peas green
"eyebright, Wiesen-Augentrost, finnÃ¶gontrÃ¶st, Ã¤ngsÃ¶gontrÃ¶st, stor Ã¶gontrÃ¶st, storaugnetrÃ¸st, kalk-Ã¸jentrÃ¸st, ahosilmÃ¤ruoho, Euphrasiae herba",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"fairy elephant's foot, baby toes, olifantsvoet, akkedisvingertjie, bobbejaanvingers, glasie, toontjie, window plant",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"false acacia, bastard acacia, black locust, faux acacia, Akazie, robinie, falsk acacie, robinia, acacia bastarda, robinia falsa acacia, acacia para-sol, Robiniae pseudoacaciae flos",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"false medlar, wild medlar, velvet wild-medlar, wildemispel, grootmispel, mispel, mviru, viru, Muiru, mviru muiru, umThulwa, umVili, umViyo, umNtulwa, umNtuli, iMandulu, mmilo, muzwilu, umVilo, monyunwana, mothwanyÃª, mpfilwa",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
false pickerelweed,1565.4,castor oil seeds
false white pine,1513.3,almonds in shell
"fancy yam, potato yam, lesser yam, lesser asiatic yam, igname, inhame de comer, inhame taioba, inhame de enxerto, kawai, ufilei, ami",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"fara(Senegal), semellier",520.1,sesame seed
"feather top Rhodes grass, feather-top chloris, feather fingergrass, showy chloris, capim de raiz, capim mimoso de cacho, witpluim chloris",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"feijoa, pineapple guava, Brazilian guava, mountain guava, fig guava, guavasteen, New Zealand banana, guayabo del pais, guayabo grande, guayabo chico, goiaba serrana, goiaba verde, goiaba abacaxÃ­",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"fennel, sweet fennel, fennel seed, fenouil sucre, fenouil, Fenchel, vinkel, saunf, badian, raz, hinojo, faenkÃ¥l, shamar, venkel, finocchio, Aetheroleum foeniculi, Aqua foeniculi, Foeniculi fructus, funcho, fyenkhel', uikyo, hui-hsiang, ensilal, kamuni (Galinya), insilali (Galinya)",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"fennel-flower, black cumin, black caraway, gith, nutmeg flower, ragged lady, Roman coriander, kalonji, nigelle de Crete, schwarzkuemmel, nigela, garidela, cominho negro, ajenuz, aranue, tikur-azmud",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"fenugreek, abacha, abakte, abish, alholva, heno griego, fenugrec, Bockshornklee, bockhornskloever, hulba, fenegriek, fieno greco, alforva, pazhitnik, koroha, k'u-tou, Trigonellae foeni-graeci semen, sunko (Galinya), abacheh, abacham",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"feta'anu, mangrove",14911.8,other beans green
"feverfew, Chrysanthemi parthenii herba, Chrysanthemi flos",1485.3,kenaf and other textile bast fibres raw or retted
"fewflower milkweed, purple silkweed",794.7,safflower seed
"fey dayiti, gran maho, grand mahaut, gros mahaut, gwo maho, mahot, cork tree, Indian tulip tree, John-Bull tree, large-leaved tulip tree, milo, Pacific rosewood, portia tree, seaside mahoe, feuilles d'Haiti, motel debou, gajadanda, paras-pipal, parsipu, porush, baru laut, waru laut, baÃ«hs sÃ¢mut, chrÃ©i sÃ¢mut, baru baru, alamo, alamo blanco, carana, clamour, duartiana, emajaguilla, higuillo, jaqueca, majaguilla, majugua de la Florida, palo de jaqueca, pho-thale, mangrove",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"field bindweed, Ã¥kervinda, vanlig Ã¥kervinda, smalbladig Ã¥kervinda, Ã¥kervindel, ager-snerle, peltokierto, Ackerwinde, lehli",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
field eryngo,3155.1,mixed grain
"field maple, hedge maple, small hedge maple, small maple, English maple, mazer tree, ulmer pipes, erable champetre, Ahorn, acero campestre, bordo comum, arce",18548.6,chillies and peppers green capsicum spp and pimenta spp
"fig leaf squash, Malabar gourd, cidre, sidra, lacoyote",15258.7,pumpkins squash and gourds
fig-leaved gourd,6663.7,tea leaves
"filfile zaf, koloita",14128.5,oil palm fruit
"finger millet, African millet, koracan, kurakkan, petit mil, eleusine cultivee, coracan, ragi, tailabon, vogel gierst, wimbi, ulezi, bule, Fingerhirse, dagussa, tokuso, tocusso, barankiya, mugimbi, ceyut, koddo, mawere (Malawi), lipoko (Malawi), usanje (Malawi), khakwe (Malawi), mulimbi (Malawi), lupodo (Malawi), malesi (Malawi), mawe (Malawi), mwimbi (Tanzania), mbege (Tanzania), bulo (Uganda), kambale (Zambia), lupoko (Zambia), mawele (Zambia), majolothi (Zambia), amale (Zambia), bule (Zambia), rapoko (Zimbabwe), zviyo (Zimbabwe), njera (Zimbabwe), rukweza (Zimbabwe), mazhovole (Zimbabwe), uphoko (Zimbabwe), Poho (Zimbabwe)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"firefly mangrove, mangrove",9920.2,mangoes guavas and mangosteens
"fish poison bean, fish bean, cafoto, banca'",2182.7,broad beans and horse beans dry
"five corner, carambola, carambole, wi ni jaina, wi ni idia, kamrakh, star fruit, Faiv kona, karmara, belimbing pessegi, belimbing saji, belimbing batu, belembing pessegi, belembing sayur, kambola, balimbin, galangan, garahan, sirinato, wou-lien, caykhe (Indochina), vinagrillo (Dominican Rep.), mamoncillo chino (Panama), ziblime (Haiti), carnico, Indian cucumber, turiguno, cayenne lime, Chinese tamarind, sweet tamarind",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"flame-of-the-forest, Bengal kino, tisso, bastard teak, muduga oil tree, butea gum tree, pouk-pen, dhak, palas, pulas, palasa, chaa, chaan, favas de engenho, palasse, thong kwaao, tong thammachaat",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"flax, linseed, yama, EndabÃ©, Entati, Telba, Talba",1485.3,kenaf and other textile bast fibres raw or retted
"flintwood, black butt",1869.3,unmanufactured tobacco
"float grass, northern mannagrass, mannagrass, marsh bedstraw, floating sweet-grass, water mannagrass, floating manna grass, mannasÃ¸tgras, manna-sÃ¸dgrÃ¦s, ojasorsimo, flÃ³Âapuntur, flutender schwaden",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"flowering rush, grassy rush, water gladiolus, junco florido, butomo, brudelys, sarjarimpi, schwanenblume",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"fodder radish, oil radish, oilseed radish, nabo forrajero, nabo forrageiro, Oelrettich",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"fonio, white fonio, hungry rice, hungry millet, hungry koos, fundi millet, fonio du SÃ©nÃ©gal, petit mil, fini, acha, cereals-fonio, findo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"food inga, ice cream bean, pois sucre, guarna, guamo, guama, guaba, huaba, inga, guamo bejuco, chalaite, rabo de mico, pacay, ingÃ¡ cipÃ³, inga de metro",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"football fruit, pangi, sis, Kepayang",15481.4,kiwi fruit
"fox grape, skunk grape, plum grape, Isabella grape, Labrusca grape, uva de raposa, labrusca",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"foxtail millet, millet foxtail, hay millet, foxtail bristle-grass, boer millet, German millet, Italian millet, nunbank setaria, kolbenhirse, kolvhirs, Ã¤kta kolvhirs, stor busthirse, ItalianpantaheinÃ¤",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"fragrant albizia, Ceylon rosewood, favas de Lazaro",6582.4,broad beans and horse beans green
"galangal, Java galangal, kholanjan, katauk karohini, kha, kha luang, kha ta daeng, kha yuak, kalijan, khulanjan, lenguas, hÃ¢u khÃ¡, riÃ¨ng, riÃ¨ng Ã£m, riÃ¨ng nÃ©p, seh ae khoei, sa-e choei",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"galingale, cyperus, English galingale, sweet cyperus, sweet galingale, souchet odorant, hohes Zypergras, langes Zypergras, fladaks, zigolo commune",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"gama medick, wrinkled medick",3155.1,mixed grain
"gamba grass, kreb (Tchad)",596.6,bambara beans dry
"gambier, Bengal gambir, gambir da India, gambeiro",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"garden burnet, salad burnet, toper's-plant, pimpinela de Italia",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"garden signal grass, tuinbeesgras",361.0,nutmeg mace cardamoms raw
"garden thyme, common thyme, thyme, thym, Thymian, tomillo, timjan, timian, sa'tar, tijm, timo, tomilho, tim'yan, jakoso, pai-li-hsiang, Thymi vulgaris herba, Aetherolum thymi",13822.2,edible roots and tubers with high starch or inulin content nec fresh
garden vetch,8074.5,peas green
"garden vetch, common vetch, slimleaf vetch, vetch",16846.9,leeks and other alliaceous vegetables
"garlic mustard, jack by the hedge",16968.2,green garlic
"garlic, cultivated garlic, ail, aglio, ajo, kaliki, Knoblauch, vitlÃ¶k, hvidlÃ¸g, thum, knoflook, alho, alho de cultura, chesnok, ninniku, suan, Bulbus Allii Sativi, garlic oil",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"gayak, gayak fran, frazostrae, pokhout, guaiacum, lignum-vitae tree, arbre de vie, bois saint, gaÃ¯ac, gaÃ¯ac bÃ¢tard, gaÃ¯ac franc, gaÃ¯ac mÃ¢le, gaÃ¯ac officnale, Franzosenholz, Guajakholz, guajaco, legno guajacano, legno santo, guyaiaco, bakaut, guayacan, guayaco, leno santo, palo santo, pano santo de las Indias, fransosenholts, common lignum-vitae (Trade name)",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"gboma eggplant, African eggplant, anthora, garden egg, ornamental eggplant, tomato-fruited eggplant, red-fruited eggplant, orange-fruited eggplant, scarlet eggplant, Thai eggplant, aubergine africaine, aubergine d'Afrique, aubergine amÃ¨re, aubergine orangÃ©e, aubergine ornementale, aubergine gboma, grosse anghive, berenjena, Afrikansk Ã¦gplante, Afrikaanse aubergine, antroewa, Afrikanische eierpflanze, melanzana petonciano, sennari nasu, terong santan, terong rapoh, terong engkol, terong kelapa, beringela africana, terong gayung, Afrikansk Ã¤ggplanta",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"gean, heart cherry, sweet cherry, mazzard cherry, fugle kirsebÃ¦r, cereja doce, cereja galega, Kirsche, Cerasorum stipites",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"genipap, genip, genipapo, caruto, Jamaica bullace plum, jagua, marmalade-box, genipapeiro, genipapinho, jenipapeiro das Guianas, jenipapeiro, jenipa', janipaba",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"gha grass, ghagras, ikagras, DÃ¼nenhafer",6582.4,broad beans and horse beans green
"gherkin, maxixe",3155.1,mixed grain
"ghogar tree, karak tree, chinyok, jum tree, arvore de folha parida, Mandvi (Surat, Bombay)",1485.3,kenaf and other textile bast fibres raw or retted
"ghost gum, eucalipto de Papua",15258.7,pumpkins squash and gourds
"giant crowfoot, reuse hoenderspoor, sterretjiegras",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"giant granadilla, granadilla, square-stemmed passion flower, fleur de le passion, barbadine, parcha, granadilla real, grandadilla grande, parcha granadina, parcha de Guinea, ganadilla de fresco, granadilla para refrescos, badea, corvejo, sandÃ­a de PasiÃ³n, maracuya-acu, maracuja-assu, maracuja silvestre, maracuya grande, maracuja melao, maracuja mamao, maracuja de Caiena, parola, kasaflora, erbis, makisa, markiza, markoesa, markeesa, manesa, timun belanda, timun hutan, marquesa, mentimun, su-khontha-rot, dua gan tay, chum bao dua, Parapotina maata (Cooks), Palatini, Vine fua lalahi, Tinitini (Niue), Pasione (Tonga), Pasio (Samoa)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"giant reed, gasau ni vavalagi, wild cane",670.3,cinnamon and cinnamontree flowers raw
"giant taro, paragum, cunjevoi, cunjevoi lily, mottled giant alocasia, baru, ta'amu (Samoa), ape (Cook I, French Polynesia), babai (Kiribati), kape (Niue,Tonga), pulaka (Tuvalu), via mila, via sori, viagaga, viadranu, viadidi, alocasia gigante",13822.2,edible roots and tubers with high starch or inulin content nec fresh
gimlet,1008.4,millet
"ginger, true ginger, stem ginger, Canton ginger, gingembre, gember, ingwer, zenzero, gengibre, beladi, mangarataia, jengibre, ingefaera, ingefÃ¦r, zanjabil, imbir', shoga, chiang, kopakai (Cook I), cagolaya ni vavalagi, poloi (Niue), 'ava pui, papasa (Simbo), pasapasa (Roviana), zingibil, dendabil",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"glacier wormwood, Alpine wormwood, genepi",1247.7,other fibre crops raw nec
"gliricidia, glory cedar, gloricidia, mother of cacao, quickstick, madre de cacao",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"globe artichoke, artichoke, carciofo, alcachofa, Artischocke, artichaut, kenchofe (Galinya)",2184.4,other stimulant spice and aromatic crops nec
"globe daisy, globularia, bergskrabba, kuleblom, kugleblomst",6582.4,broad beans and horse beans green
"globeflower, engblomme",1942.8,sunflower seed
"glossy bersama, glossy white ash, undiyaza, blinkblaarwitessenhout",2182.7,broad beans and horse beans dry
"glossy nightshade, small flowered nightshade, American black nightshade, morelle noire, harsh, managu, key awuti",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"goat's rue, French lilac, European goat's-rue, professor weed, Geisraute, capraria, galega, Galegae herba",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"golden rod, European goldenrod, Solidago, vergadoro, gullris, almindelig gyldenris, kultapiisku, gewÃ¶hnliche Goldrute, vara-de-ouro, vara de oro, Solidaginis herba, Virgae aureae herba",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"golden shower, Indian laburnum",4763.7,plums and sloes
"golden wattle, Sydney green wattle, Queen Wattle, Early Black Wattle, Green Wattle",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"gomor, gemaro, andal, wollerige kapperbos, woolly caper-bush, khawa",1485.3,kenaf and other textile bast fibres raw or retted
"goose foot, crab grass, crow's foot, te uteute, chapra",1485.3,kenaf and other textile bast fibres raw or retted
"gooseberry, stikkelsbÃ¦r, stachelbeere",4807.7,gooseberries
"goosefoot, good King Henry, lungrot, lungmÃ¥lla, stolt Henrik, stolthenriks-gÃ¥sefod, hyvÃ¤nheikinsavikka, guter Heinrich",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"goosefoot, misbredie, withondebossie",4807.7,gooseberries
"gourka, egg tree",2412.5,jute raw or retted
"grape, raisin, grappe, uva, videira, vinha, vindrue, buah anggur, auggut, ubas, sa-pyit, tra pÃ¨ang baay chum, angunx, artgun, nho, Traube, Weintraube, Vitis viniferae folium, enab, vite",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"grapefruit, pomelo, pamplemousse, limau gedang, moli sisuka, moli peli, muli, krooch thlong, kiengz s'aangz, cam, bu'o'i, pompelmo, Paradisapfel, toranja, jamboa, turingia, toronja, grapefrugt",18548.6,chillies and peppers green capsicum spp and pimenta spp
"grapple, devil's claw, teufelskralle, duiwelsklou, kalahari skaapklou, skerpioen dubbeltjie, veld spinnekop, duiwelsdoring, kloudoring, wolwedoring, leeudoring, sengaparile, legatapitsi, Harpagophyti radix",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"grass of Parnassus, parnassia, parnasia",6379.6,plantains and cooking bananas
"grass pea, chickling pea, Indian vetch, chickling vetch, gesse blanche, gesette, chÃ­caro comÃºn, almorta, alverjas, pisello bretonne, guaya, san lee dow, khesari, batura, gilban, matri, sebere, rough pea",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"gray ironbark, eucalipto vermelho",1565.4,castor oil seeds
"great angelica, purplestem angelica, alexanders, American angelica, high angelica, purple angelica, masterwort, angelica roxa",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"great burdock, burdock, Japanese godo, Bardanae radix, Bardanae folium",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"great burnet, burnet-bloodwort, pimpinela hortense, sanguisorba",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"great celandine, grande chelidoine, eclaire, SchÃ¶llkraut, skelÃ¶rt, svaleurt, keltamo, svalÃ¶rt, Chelidonii herba, Chelidonii radix",13822.2,edible roots and tubers with high starch or inulin content nec fresh
great knapweed,10990.0,grapes
"great yellow gentian, yellow gentian, bitterwort, gallweed, genciana das boticas, genciana da Europa, genciana das farmacias, gencionela, argencana dos pastores",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
green arrow arum,16968.2,green garlic
"green gram (India), mung bean (Aust), judia de mungo, poroto mungo (Paraguay), ambÃ©rique, Mungbohne",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"green hen and chickens, spider plant, walking anthericum, clorofito, hen-met-kuikens, ujejane, iphamba, umhlambezo",18548.6,chillies and peppers green capsicum spp and pimenta spp
green leaf desmodium,14911.8,other beans green
green longan,8074.5,peas green
grey box tree,14911.8,other beans green
"grey camel thorn, basterkameeldoring, vaaldoring, volstruiskameel, vaalkameel, haaikoos, kaboom, n!Haboom, mokholo, vaalkameeldoring",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
grey gum,1437.8,sorghum
grindelia,11022.3,ginger raw
"groenklapper, elephant orange, monkey ball, monkey orange, Natal orange, spiny monkey ball, kaffir orange, mpapa, mtonga, angora (Galinya, Harar), green monkey apple, spiny monkey apple",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"ground ivy, field balm, field thyme, tun hoof, alehoof, hay maids, gill-over-the-ground, crow victuals, Gundelrebe, krossknapp, korsknap, maahumala, hera terrestre, coroa da terra, Hederae terrestris herba",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"groundnut, peanut, monkeynut, arachide, cacahuÃ¨tes, Erdnuss, goober, mani, mani largo, pindels, pistach, pistache, pinat, pinati, earthnut, Manila nut, Chinese nut, pindar, goober pea, spagnoletta, nilakkadalai, kadalai",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"guaba, pan chock, river-koko, pois doux, pois doux Ã  paille, pois sucrin, guaba nativa, guamÃ , guamÃ¡ jina, guavo, inga, pwa dou, sikren, inga' verdadeiro",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"guanaguanare, palo de garza, ambelania, pepino do mato, pepino-do-mato, pepino-doce, pau-de-leite, ambÃ©lanier acide, graines-biche, papaye biche, quimbÃ©-dents",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
guapuruvu,5327.6,asparagus
"guar bean, cluster bean, cyamopse a quatre ailes, guar, guaerdou, cottaveraykai, kothaverai, babachi, bavachi, capparadavari, gawarkai, goreekaye, guvarphalli, goor-chikurkai, gorechikudi, guanra chhuim, jhar sim, kotha-marakka, kothavara, kotaranga, walee-pe, kottavarai, mgwaru, gavar, gawar, goor, gowaree, gouree, govar, guara, gunwar",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"guarana, kletterstrauch, guaranastruik, quarana, quarane",6582.4,broad beans and horse beans green
"guava, guayaba, goyave, goyavier, goiaba, goeajaaba, Guave, jambu batu, bayabas, guyabas, trapaek sruk, si da, farang, fa-rahng, ma-kuai, ma-man, oi, kuava, amrut, kautoga, kua'va, zeitun",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
guayule,21076.9,apples
"gum arabic, gum acacia, kumut, Sudan gum arabic, three-thorned acacia, Turkey gum, cape gum, acacia du senegal, gommier, Arabicumbaum, Gummibaum, alloba, asharat, hashab, debehi, dakwara, kikwata, goma arÃ¡bica, umKhala",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"gunnera, Chilean rhubarb, Chilean gunnera, Chilean 'ape'ape, pangue, nalca, raway",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
gurjum tree,16968.2,green garlic
"gutta percha, gutta-percha tree",2412.5,jute raw or retted
gympie messmate,6266.0,matã leaves
"hairy indigo, anileira felpuda",2182.7,broad beans and horse beans dry
"hairy-fruited eggplant, Malaysian sunplant",6379.6,plantains and cooking bananas
"hairypod cowpea, dalrymple vigna (Aust), gilibande, goko, masheke, mugulula, indolo, a kwakwa, kavuhivahi, toshimbo shimbo (Co)",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"halleko, African moringa tree, cabbage tree, kohlbaum, malung-gay, murunga-Kai, sohnja, wocheletcha, wolayetgna",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"hardy kiwi, bower vine, dessert kiwi, cocktail kiwi, tara vine, yang-tao",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"hare's-foot clover, rabbit-foot clover, old-field clover, dogs-and-cats, stone clover, trefle des champs, trefle pied de lievre, hare klÂ¢ver, Hasenklee, Ackerklee, jÃ¤nÃ¶napila, trifoglio arvense, hare-klÃ¸ver, trevo pe' de lebre, Trifolii albi et rubri flos",13822.2,edible roots and tubers with high starch or inulin content nec fresh
hart's tongue,2719.6,tung nuts
"hausa potato, coleus, coleus potato, chinese potato, country potato, ratala, Sudan-potato, pomme de terre du Soudan, hausakartoffel, koorka, patata de los hausas, kembifi, ubi kembili, innala, ketang, fra-fra-salanga, koorkan, fra-fra potato, saluga, tumuku, fabirama",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"hawthorn, English hawthorn, evergreen thorn, albespine, may-tree, aubepine, WeiÃdorn, biancospino, escrambulheiro, espinheiro bravo, rundhagtorn, hagtorn, parkhagtorn, almindelig hvidtjÃ¸rn, pyÃ¶rÃ¶liuskaorapihlaja, midland hawthorn, zweigriffeliger WeiÃdorn, Crataegi summitas, Crataegi fructus",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"hazel nut, European hazel, cob nuts, Irish coll, fertile de Coutard, longue d'Espagne, lungha di Spagne, nocciolo, Gunslebenert Zellernuss, Gunslebert, Haselnuss, Haselnussbaum, hassel, hasselbuske, vanlig hassel, pÃ¤hkinÃ¤pensas, Coryli folium",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"heather, common heather, white heather, Scotch heather, moor beson, ling, bruyere, Besenheide, brugo, urze dos montes, urze ordinaria, carrasquinha, caluna, queiro', magrica, mongarica, quebra-panelas, brezo, hÃ¶stljung, rÃ¸sslyng, hedelyng, kanerva, beitillyng",13822.2,edible roots and tubers with high starch or inulin content nec fresh
hedge mustard,935.7,mustard seed
"hemlock, poison hemlock, odÃ¶rt, giftkjeks, skarntyde, myrkkykatko, gefleckter schierling, chof-chof",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"hemp agrimony, Wasserdost, hampflockel, flocks, floksÃ¶rt, hampÃ¶rt, hjortetrÃ¸st, punalatva, Eupatorii cannabini herba",1485.3,kenaf and other textile bast fibres raw or retted
"hemp dogbane, black hemp, black Indian hemp, Canadian hemp, American hemp, amy-root, bowmans root, bitterroot, Indian-physic, rheumatism weed, milkweed, wild cotton, Choctaw-root",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
