,estimated_yield,matched_crop
"Chinese albizia, tamaligi",600.1,abaca manila hemp raw
"Chinese cabbage, pak choi, pakchoi, Pe-tsai, petsai, wong bok, wongbok, Chinese salad, Chou chinois (Fr), kapisi, kapeti ni jaina (Fiji), kapisi siaina (Tonga, Tuvalu)",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"Chinese chestnut, chataignier de Chine, castanheiro da China",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Chinese chives, Oriental garlic, nira, cuchay, ku ts'ai, cebolinho da China",18548.6,chillies and peppers green capsicum spp and pimenta spp
"Chinese ginseng, Korean ginseng, ginseng",3815.5,chestnuts in shell
"Chinese gooseberry, Kiwifruit",4807.7,gooseberries
"Chinese pear, Japanese pear, Asian pear, Oriental pear, sand pear, Japanese sand pear, pera chinesa, peral de las arenas, nashi",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"Chinese pine, pinheiro da China",13499.1,tangerines mandarins clementines
"Chinese tamarisk, tamargueira chinesa",13499.1,tangerines mandarins clementines
Coastal hairgrass,1565.4,castor oil seeds
Cockspur,3906.8,okra
"Colombian mahogany, Abarco, Jequitiba",600.1,abaca manila hemp raw
"Colorado columbine, red columbine, wild columbine, Canada columbine, American columbine, meetinghouse, rock-bells, honeysuckle, rock-lily, jack-in-trousers, cluckies, wild honeysuckle, northern bush honeysuckle",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"Columbus grass, almum sorghum",44579.4,cucumbers and gherkins
Common finger grass,11022.3,ginger raw
Common hairgrass,5962.3,maize corn
"Congo signal grass, Congo grass, Chinese cabbage, Kennedy ruzi grass, prostrate signal grass, ruzi grass, Congo senal, gambutera, pasto Congo, pasto ruzi, ruzi, ruziziensis, capim Congo, ya ruzi",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Coobah or swamp wattle, Native Willow, Willow Wattle",265.1,cloves whole stems raw
Corkwood wattle,5962.3,maize corn
"Creeping bentgrass, spreading bentgrass",6582.4,broad beans and horse beans green
Creeping carrot-seed grass,361.0,nutmeg mace cardamoms raw
Creeping soft-grass,8074.5,peas green
Crested dog's tail,2470.4,tallowtree seeds
Cunningham's wattle,2587.6,cashewapple
Currawong,5251.9,currants
Cushion love grass,265.1,cloves whole stems raw
"Dallis grass, paspalum, gewone paspalum",18548.6,chillies and peppers green capsicum spp and pimenta spp
Dead finish,1513.3,almonds in shell
